Broker: 2.2536560855972643 watts, PV: 6.227260764920404 watts, Broker/PV in kW: 0.01kW, timestamp: 1584724567129 
Broker: 3.875265878550169 watts, PV: 12.23916478196367 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724567225 
Broker: 5.74258367513071 watts, PV: 4.375750824043934 watts, Broker/PV in kW: 0.01kW, timestamp: 1584724567338 
Broker: 7.652245881771375 watts, PV: 19.15631608659263 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724567432 
Broker: 9.375003645847718 watts, PV: 5.080887193051464 watts, Broker/PV in kW: 0.01kW, timestamp: 1584724567533 
Broker: 10.378203856960035 watts, PV: 5.751728989616578 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724567639 
Broker: 11.148890064584684 watts, PV: 8.115395153537914 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724567744 
Broker: 12.873681410733491 watts, PV: 2.5303460481748763 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724567845 
Broker: 14.427848793671096 watts, PV: 12.07476583357713 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724567946 
Broker: 15.015060001167605 watts, PV: 3.015429046547493 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724568049 
Broker: 15.286106564650943 watts, PV: 1.9890013839068077 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724568152 
Broker: 17.175802589451685 watts, PV: 6.286326494097998 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724568253 
Broker: 18.04792719893645 watts, PV: 1.9473608018506106 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724568346 
Broker: 18.628547685290325 watts, PV: 2.429061751381112 watts, Broker/PV in kW: 0.02kW, timestamp: 1584724568464 
Broker: 18.925365703301566 watts, PV: 7.7311286801635815 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724568555 
Broker: 20.560016111198664 watts, PV: 14.743830574242768 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724568665 
Broker: 21.371057841721424 watts, PV: 11.647511230374734 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724568754 
Broker: 21.93094499879862 watts, PV: 19.284124071424223 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724568869 
Broker: 22.261986582727626 watts, PV: 11.427914961474679 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724568965 
Broker: 22.359683693067048 watts, PV: 3.05020156877144 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724569072 
Broker: 23.036337182778592 watts, PV: 11.546662212362477 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724569172 
Broker: 24.78789780577506 watts, PV: 9.705204451334609 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724569276 
Broker: 24.94049252593342 watts, PV: 12.489660830776877 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724569377 
Broker: 25.960047246410635 watts, PV: 3.800072253234106 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724569486 
Broker: 27.172262202592233 watts, PV: 19.4752248208602 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724569576 
Broker: 27.880815579290616 watts, PV: 9.518641682614462 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724569681 
Broker: 28.37146003362531 watts, PV: 7.536761471089952 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724569777 
Broker: 29.4646156407998 watts, PV: 16.597368250244237 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724569880 
Broker: 29.997278972225075 watts, PV: 0.6044333029042592 watts, Broker/PV in kW: 0.03kW, timestamp: 1584724569983 
Broker: 31.067501893195118 watts, PV: 16.94565306567583 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724570091 
Broker: 32.496535286445194 watts, PV: 14.697943660186205 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724570188 
Broker: 33.184967836535954 watts, PV: 12.169363489415357 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724570293 
Broker: 33.21422916974443 watts, PV: 5.207372654740272 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724570396 
Broker: 33.46445625939204 watts, PV: 6.246658773978413 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724570498 
Broker: 33.83734650457387 watts, PV: 12.204269332741614 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724570621 
Broker: 34.504066025892335 watts, PV: 5.197051924411213 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724570703 
Broker: 36.36488121265439 watts, PV: 3.4633110734189154 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724570805 
Broker: 37.21335090948736 watts, PV: 4.595475979272554 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724570915 
Broker: 37.743057329372164 watts, PV: 11.041409036354422 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724571019 
Broker: 38.50503412173167 watts, PV: 14.790630441553162 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724571128 
Broker: 39.343744259490386 watts, PV: 18.3526178721625 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724571220 
Broker: 39.871563484462904 watts, PV: 9.857337862068514 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724571325 
Broker: 41.195175341575165 watts, PV: 1.7153656594016686 watts, Broker/PV in kW: 0.04kW, timestamp: 1584724571467 
Broker: 41.896849492996985 watts, PV: 17.703496303967604 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724571535 
Broker: 42.83062194445153 watts, PV: 7.207731410600329 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724571635 
Broker: 43.98314396990835 watts, PV: 16.277009085762 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724571740 
Broker: 44.18114082221497 watts, PV: 10.94054699014829 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724571845 
Broker: 44.50052340240088 watts, PV: 1.17024975523214 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724571945 
Broker: 44.582216392092754 watts, PV: 13.678203056612901 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572045 
Broker: 45.77808958882117 watts, PV: 15.11415094691257 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572147 
Broker: 45.924396701342204 watts, PV: 12.525102628306684 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572249 
Broker: 46.96658464428452 watts, PV: 1.7454611459099612 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724572356 
Broker: 47.77856273129908 watts, PV: 17.402130148650574 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724572451 
Broker: 49.08523370044748 watts, PV: 7.5023499963249884 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572549 
Broker: 50.18627222742646 watts, PV: 13.91255628943481 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572662 
Broker: 51.468680360152874 watts, PV: 0.7978554828551188 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724572756 
Broker: 51.77090691698329 watts, PV: 2.8453626882834016 watts, Broker/PV in kW: 0.05kW, timestamp: 1584724572859 
Broker: 51.921525129097525 watts, PV: 5.065201358246361 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724572957 
Broker: 52.28715935733559 watts, PV: 8.847696985980278 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724573057 
Broker: 52.93360831153566 watts, PV: 9.140012910661802 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724573163 
Broker: 54.214121091094384 watts, PV: 1.7198206832967244 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724573272 
Broker: 56.01974607369756 watts, PV: 4.830158643207398 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724573370 
Broker: 57.36667893990442 watts, PV: 13.523472610735103 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724573471 
Broker: 58.58665771142098 watts, PV: 3.3446281591438565 watts, Broker/PV in kW: 0.06kW, timestamp: 1584724573580 
Broker: 59.72634057807047 watts, PV: 6.777326896338529 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724573674 
Broker: 60.8172384758648 watts, PV: 5.898185336771937 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724573775 
Broker: 62.3004208238094 watts, PV: 9.325181046590885 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724573880 
Broker: 63.391640902651524 watts, PV: 2.9085996104215273 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724573987 
Broker: 64.34546573232197 watts, PV: 19.96113223862899 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574090 
Broker: 65.70987598288406 watts, PV: 10.08301581875212 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574190 
Broker: 66.81784797278478 watts, PV: 16.9377819296329 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574300 
Broker: 68.08114612924194 watts, PV: 10.330316702891565 watts, Broker/PV in kW: 0.08kW, timestamp: 1584724574391 
Broker: 68.40841163539395 watts, PV: 0.7806404404240652 watts, Broker/PV in kW: 0.07kW, timestamp: 1584724574496 
